,summary,name
0,"{'_runtime': 120891.430471508, '_step': 153299, '_timestamp': 1739076067.12333, '_wandb': {'runtime': 120892}, 'eval/mIoU': 85.77010764992075, 'eval/mIoU_ema': 85.76956253062971, 'train/loss_all': 0.01147184520959854, 'train/loss_s': 0.039870865643024445, 'train/loss_x': 0.0029962880071252584, 'train/loss_x_gradient': 0.000415754911955446, 'train/loss_x_norm': 0.002604471519589424, 'train/mask_ratio': 0.9559046030044556}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
1,"{'_runtime': 273988.275030398, '_step': 153299, '_timestamp': 1739229166.6129942, '_wandb': {'runtime': 273988}, 'eval/mIoU': 85.79700457315269, 'eval/mIoU_ema': 85.79772490226759, 'train/loss_all': 0.005162653513252735, 'train/loss_s': 0.015238653868436812, 'train/loss_x': 0.0024082674644887447, 'train/loss_x_gradient': 0.0004869128460995853, 'train/loss_x_norm': 0.00251678004860878, 'train/mask_ratio': 0.96371328830719}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
2,"{'_runtime': 115419.873627502, '_step': 153299, '_timestamp': 1739070601.6873782, '_wandb': {'runtime': 115420}, 'eval/mIoU': 85.76188535092585, 'eval/mIoU_ema': 85.76295717676238, 'train/loss_all': 0.007954860106110573, 'train/loss_s': 0.025820523500442505, 'train/loss_x': 0.0026024957187473774, 'train/loss_x_gradient': 0.0007333075045607984, 'train/loss_x_norm': 0.0026631122455000877, 'train/mask_ratio': 0.955410897731781}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
3,"{'_runtime': 203363.094291023, '_step': 153299, '_timestamp': 1739158550.17212, '_wandb': {'runtime': 203363}, 'eval/mIoU': 86.00648031320154, 'eval/mIoU_ema': 86.00524288055806, 'train/loss_all': 0.003067838028073311, 'train/loss_s': 0.005657615140080452, 'train/loss_x': 0.003679046407341957, 'train/loss_x_gradient': 0.0004131961322855204, 'train/loss_x_norm': 0.0025214948691427708, 'train/mask_ratio': 0.9528298377990724}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
4,"{'_runtime': 219688.526117736, '_step': 153299, '_timestamp': 1739174877.7671251, '_wandb': {'runtime': 219689}, 'eval/mIoU': 85.17359463662667, 'eval/mIoU_ema': 85.17305851811895, 'train/loss_all': 0.00827787071466446, 'train/loss_s': 0.020624663680791855, 'train/loss_x': 0.003689699340611696, 'train/loss_x_gradient': 0.0005192478420212865, 'train/mask_ratio': 0.969342052936554}",unimatch_v2_wandb_gradient_dino_small
5,"{'_runtime': 111484.007062209, '_step': 153299, '_timestamp': 1739066675.4616537, '_wandb': {'runtime': 111484}, 'eval/mIoU': 84.87688766583081, 'eval/mIoU_ema': 84.87917993782735, 'train/loss_all': 0.008789630606770515, 'train/loss_s': 0.020686669275164604, 'train/loss_x': 0.005118359345942736, 'train/loss_x_gradient': 0.00056386151118204, 'train/mask_ratio': 0.9832807183265686}",unimatch_v2_wandb_gradient_dino_small
6,"{'_runtime': 30.514543346, '_step': 28, '_timestamp': 1738955224.9593613, '_wandb': {'runtime': 30}, 'train/loss_all': 0.5452842712402344, 'train/loss_s': 3.4599552236613818e-06, 'train/loss_x': 1.6223660707473757, 'train/loss_x_gradient': 0.013483268208801746, 'train/mask_ratio': 0.04159536957740784}",unimatch_v2_wandb_gradient_dino_small
7,"{'_runtime': 114904.433223906, '_step': 153299, '_timestamp': 1739070104.3796864, '_wandb': {'runtime': 114905}, 'eval/mIoU': 85.89945939731273, 'eval/mIoU_ema': 85.89147438478626, 'train/loss_all': 0.018277637660503387, 'train/loss_s': 0.06730743497610092, 'train/loss_x': 0.0027263478841632605, 'train/loss_x_gradient': 0.0004586997674778104, 'train/loss_x_norm': 0.0026180699933320284, 'train/mask_ratio': 0.9655985832214355}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
8,"{'_runtime': 173097.511179879, '_step': 153299, '_timestamp': 1739128301.27111, '_wandb': {'runtime': 173098}, 'eval/mIoU': 84.65969902362289, 'eval/mIoU_ema': 84.65021780183417, 'train/loss_all': 0.003850296139717102, 'train/loss_s': 0.007400366012006998, 'train/loss_x': 0.00365199544467032, 'train/loss_x_gradient': 0.0004985263803973794, 'train/mask_ratio': 0.9450628757476808}",unimatch_v2_wandb_gradient_dino_small
9,"{'_runtime': 171990.603165762, '_step': 153299, '_timestamp': 1739127202.397394, '_wandb': {'runtime': 171991}, 'eval/mIoU': 85.43810397444228, 'eval/mIoU_ema': 85.4279930322358, 'train/loss_all': 0.011282196268439291, 'train/loss_s': 0.029423916712403297, 'train/loss_x': 0.003867588005959987, 'train/loss_x_gradient': 0.0005550811183638871, 'train/mask_ratio': 0.9683415293693542}",unimatch_v2_wandb_gradient_dino_small
10,"{'_runtime': 170726.712246817, '_step': 153299, '_timestamp': 1739125939.7122097, '_wandb': {'runtime': 170727}, 'eval/mIoU': 85.68880946331397, 'eval/mIoU_ema': 85.6916005857502, 'train/loss_all': 0.009721187874674795, 'train/loss_s': 0.03326119855046272, 'train/loss_x': 0.002445794874802232, 'train/loss_x_gradient': 0.0005802437663078308, 'train/loss_x_norm': 0.002597515005618334, 'train/mask_ratio': 0.9611027240753174}",unimatch_v2_wandb_normloss_gradient_dino_small
11,"{'_runtime': 173086.883839184, '_step': 153299, '_timestamp': 1739128302.289969, '_wandb': {'runtime': 173088}, 'eval/mIoU': 85.36976722701054, 'eval/mIoU_ema': 85.3755989707173, 'train/loss_all': 0.003923657350242138, 'train/loss_s': 0.010184316895902157, 'train/loss_x': 0.00256093917414546, 'train/loss_x_gradient': 0.0003468336071819067, 'train/loss_x_norm': 0.0026025406550616026, 'train/mask_ratio': 0.967785894870758}",unimatch_v2_wandb_normloss_gradient_dino_small
