"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/mIoU (Max)","eval/mIoU_ema (Max)","train/loss_all","train/loss_s","train/loss_x","train/loss_x_gradient","train/loss_x_norm","train/mask_ratio"
"unimatch_v2_wandb_wo_FA_normloss_dino_small","finished","-","","","2025-02-03T22:58:35.000Z","131067","","85.81791966176746","85.9352274606633","0.00812600925564766","0.02144497260451317","0.00043204514076933265","","0.0025010097306221724","0.9840108752250672"
"unimatch_v2_wandb_wo_FA_dino_base","finished","-","","","2025-02-03T22:02:30.000Z","128268","","85.64846797210978","85.63413268305285","0.00970019493252039","0.019008468836545944","0.00039192065014503896","","","0.960372030735016"
"unimatch_v2_wandb_normloss_dino_large","finished","-","","","2025-02-04T03:00:16.000Z","127858","","85.57008550030238","85.6293744689649","0.01266588643193245","0.033718306571245193","0.0018704215763136744","","0.002408931963145733","0.9716276526451112"
"unimatch_v2_wandb_dino_small","finished","-","","","2025-02-03T22:13:28.000Z","128612","","85.73123798322902","85.61607123422961","0.006395020987838507","0.011333918198943138","0.001456123893149197","","","0.9674835205078124"
"unimatch_v2_wandb_wo_FA_dino_base","finished","-","","","2025-02-03T22:02:36.000Z","126759","","85.51510271005357","85.59573820010198","0.021528692916035652","0.04138217866420746","0.001675207749940455","","","0.983034372329712"
"unimatch_v2_wandb_wo_FA_dino_base","finished","-","","","2025-02-03T22:02:12.000Z","128734","","85.48231610110354","85.50407522776207","0.013565899804234505","0.02658550813794136","0.000546290713828057","","","0.987445592880249"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_base","finished","-","","","2025-02-03T22:00:28.000Z","176305","","85.19501207241068","85.39299499920881","0.005431718658655882","0.0179445743560791","0.0005256631993688643","0.0005322130164131522","0.0027244240045547485","0.985985517501831"
"unimatch_v2_wandb_wo_FA_dino_small","finished","-","","","2025-02-03T21:59:39.000Z","129021","","85.33899390372638","85.37135613747144","0.009136623702943323","0.01792411506175995","0.00034913234412670135","","","0.9805335402488708"
"unimatch_v2_wandb_normloss_dino_small","finished","-","","","2025-02-03T21:58:32.000Z","131310","","85.2431408670597","85.36601076975172","0.0107522364705801","0.02846878580749035","0.0012379667023196816","","0.002549955155700445","0.9600861668586732"
"unimatch_v2_wandb_normloss_gradient_dino_base","finished","-","","","2025-02-03T22:01:18.000Z","174930","","85.32787277890984","85.35344572308776","0.002223595045506954","0.005507986061275005","0.00047919258940964937","0.0003213686868548393","0.0025858324952423573","0.9844221472740172"
"unimatch_v2_wandb_wo_FA_dino_small","finished","-","","","2025-02-04T02:57:56.000Z","126624","","85.36240863875244","85.34065132188822","0.02866678684949875","0.056863270699977875","0.000470304163172841","","","0.9831376671791076"
"unimatch_v2_wandb_wo_FA_normloss_dino_small","finished","-","","","2025-02-03T21:59:14.000Z","127773","","85.16045801285297","85.33136065063454","0.005466030444949865","0.013130880892276764","0.0007367606740444899","","0.0025304495356976986","0.9897821545600892"
"unimatch_v2_wandb_dino_large","finished","-","","","2025-02-04T06:57:03.000Z","130083","","85.32164581601612","85.28750813998374","0.00990770012140274","0.01818536221981049","0.0016300377901643517","","","0.9601125717163086"
"unimatch_v2_wandb_wo_FA_normloss_dino_base","finished","-","","","2025-02-03T22:01:53.000Z","131247","","85.22764234119867","85.28314809083547","0.030493808910250664","0.08861028403043747","0.00037824458559043705","","0.002492898842319846","0.9870087504386902"
"unimatch_v2_wandb_wo_FA_normloss_dino_small","finished","-","","","2025-02-03T21:59:16.000Z","131044","","85.2919792845045","85.20143109801944","0.0030134301632642746","0.005973235238343477","0.0004790628736373037","","0.002587992697954178","0.9801169037818908"
"unimatch_v2_wandb_wo_FA_dino_large","finished","-","","","2025-02-04T06:56:06.000Z","128445","","85.49651251644502","85.18890326327293","0.013142075389623642","0.024253949522972107","0.002030201954767108","","","0.9797097444534302"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_base","finished","-","","","2025-02-03T22:00:21.000Z","177224","","85.17465924312694","85.18675882261002","0.004120965488255024","0.01247662492096424","0.0011436156928539276","0.0003831700305454433","0.002480450551956892","0.9912034869194032"
"unimatch_v2_wandb_wo_FA_dino_base","finished","-","","","2025-02-03T22:02:03.000Z","127362","","85.20719915343275","85.18626759728129","0.018031077459454536","0.035698287189006805","0.0003638694470282644","","","0.9852388501167296"
"unimatch_v2_wandb_gradient_dino_large","finished","-","","","2025-02-03T22:02:48.000Z","176743","","85.2159368276218","85.18609152171369","0.003757647005841136","0.008474850095808506","0.0025605650153011084","0.00023752523702569303","","0.9862395524978638"
"unimatch_v2_wandb_dino_small","finished","-","","","2025-02-04T02:29:19.000Z","126987","","85.12500248432477","85.18279590111486","0.01819734461605549","0.0360042043030262","0.0003904854820575565","","","0.9560959935188292"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","running","-","","","2025-02-03T21:59:17.000Z","239411","","85.05139915614832","85.17483541254104","0.0043341778218746185","0.010450753383338451","0.003720854409039021","0.000562448869459331","0.0026026545092463493","0.9706827402114868"
"unimatch_v2_wandb_wo_FA_gradient_dino_base","finished","-","","","2025-02-03T22:01:36.000Z","170560","","85.18412150436939","85.17204446526122","0.006966384127736092","0.01978202350437641","0.0008117238758131862","0.0003054048283956945","","0.9824021458625792"
"unimatch_v2_wandb_normloss_gradient_dino_small","finished","-","","","2025-02-03T22:00:27.000Z","114577","","84.98331491388983","85.15155720046921","0.015445278957486153","0.05753254145383835","0.0007672529318369925","0.0007497546030208468","0.002731567714363337","0.9880964756011964"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","finished","-","","","2025-02-03T21:57:46.000Z","170756","","84.65352896583072","85.13511547275341","0.006651625502854586","0.0204247385263443","0.003299090778455138","0.0004206742742098868","0.002461997792124748","0.9856486916542052"
"unimatch_v2_wandb_dino_base","finished","-","","","2025-02-03T22:02:43.000Z","125417","","85.13641393926284","85.11261804663731","0.009678523987531662","0.0185411274433136","0.0008159214630723","","","0.967379093170166"
"unimatch_v2_wandb_dino_base","finished","-","","","2025-02-03T22:02:20.000Z","127810","","85.14560160022887","85.10452139802133","0.032858956605196","0.06497526168823242","0.0007426547235809267","","","0.9647670984268188"
"unimatch_v2_wandb_wo_FA_gradient_dino_base","finished","-","","","2025-02-03T22:01:36.000Z","176207","","84.80205626442846","85.10185224934797","0.009617794305086136","0.027985237538814545","0.00028293184004724026","0.000585211266297847","","0.9888337254524232"
"unimatch_v2_wandb_wo_FA_normloss_dino_base","finished","-","","","2025-02-03T22:01:54.000Z","131196","","84.95289656098628","85.09099851161668","0.004127651918679476","0.00952282641083002","0.000238991531659849","","0.002621137537062168","0.9838094711303712"
"unimatch_v2_wandb_dino_base","finished","-","","","2025-02-03T22:02:28.000Z","123992","","85.0894222595684","85.08771800054365","0.010874071158468723","0.02066180296242237","0.001086339121684432","","","0.98101007938385"
"unimatch_v2_wandb_gradient_dino_base","finished","-","","","2025-02-03T22:00:46.000Z","172971","","85.06575727947475","85.08006931529408","0.005218366160988808","0.014666661620140076","0.0004106252163182944","0.0005778112099505961","","0.9682535529136658"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_base","finished","-","","","2025-02-03T22:00:28.000Z","175057","","85.11646002549685","85.07659664210505","0.01296335645020008","0.04823445528745651","0.000560544605832547","0.00041380501352250576","0.002644619671627879","0.961268424987793"
